Time (sec),"CH 1, ECG (mV)","CH40, Heart Rate (mV)"
0.221,-0.156860352,0
0.222,-0.153808594,0
0.223,-0.14831543,0
0.224,-0.141296387,0
0.225,-0.133361816,0
0.226,-0.124816895,0
0.227,-0.116271973,0
0.228,-0.108032227,0
0.229,-0.100402832,0
0.23,-0.093688965,0
0.231,-0.087890625,0
0.232,-0.083312988,0
0.233,-0.079956055,0
0.234,-0.077514648,0
0.235,-0.076293945,0
0.236,-0.07598877,0
0.237,-0.076293945,0
0.238,-0.077209473,0
0.239,-0.078735352,0
0.24,-0.08026123,0
0.241,-0.082397461,0
0.242,-0.084533691,0
0.243,-0.086669922,0
0.244,-0.088500977,0
0.245,-0.090026855,0
0.246,-0.091552734,0
0.247,-0.092468262,0
0.248,-0.093383789,0
0.249,-0.094299316,0
0.25,-0.094604492,0
0.251,-0.094604492,0
0.252,-0.094604492,0
0.253,-0.094604492,0
0.254,-0.094299316,0
0.255,-0.093994141,0
0.256,-0.093688965,0
0.257,-0.093383789,0
0.258,-0.093078613,0
0.259,-0.092773438,0
0.26,-0.092468262,0
0.261,-0.09185791,0
0.262,-0.091247559,0
0.263,-0.090942383,0
0.264,-0.090637207,0
0.265,-0.090332031,0
0.266,-0.090026855,0
0.267,-0.089416504,0
0.268,-0.088806152,0
0.269,-0.088195801,0
0.27,-0.087280273,0
0.271,-0.086669922,0
0.272,-0.085449219,0
0.273,-0.084533691,0
0.274,-0.083312988,0
0.275,-0.082092285,0
0.276,-0.080566406,0
0.277,-0.079345703,0
0.278,-0.077819824,0
0.279,-0.076293945,0
0.28,-0.074768066,0
0.281,-0.073547363,0
0.282,-0.072021484,0
0.283,-0.070495605,0
0.284,-0.068969727,0
0.285,-0.067443848,0
0.286,-0.065917969,0
0.287,-0.064086914,0
0.288,-0.062561035,0
0.289,-0.06072998,0
0.29,-0.059204102,0
0.291,-0.057067871,0
0.292,-0.055236816,0
0.293,-0.053405762,0
0.294,-0.051269531,0
0.295,-0.049438477,0
0.296,-0.047912598,0
0.297,-0.046386719,0
0.298,-0.045166016,0
0.299,-0.044555664,0
0.3,-0.043945313,0
0.301,-0.043640137,0
0.302,-0.043334961,0
0.303,-0.042724609,0
0.304,-0.042114258,0
0.305,-0.041809082,0
0.306,-0.041503906,0
0.307,-0.041503906,0
0.308,-0.041503906,0
0.309,-0.041503906,0
0.31,-0.04119873,0
0.311,-0.040283203,0
0.312,-0.039367676,0
0.313,-0.038146973,0
0.314,-0.036621094,0
0.315,-0.035400391,0
0.316,-0.033874512,0
0.317,-0.032348633,0
0.318,-0.030517578,0
0.319,-0.028686523,0
0.32,-0.026550293,0
0.321,-0.024108887,0
0.322,-0.021972656,0
0.323,-0.019836426,0
0.324,-0.018310547,0
0.325,-0.01739502,0
0.326,-0.016479492,0
0.327,-0.015869141,0
0.328,-0.014953613,0
0.329,-0.014648438,0
0.33,-0.014038086,0
0.331,-0.014038086,0
0.332,-0.014038086,0
0.333,-0.014343262,0
0.334,-0.014953613,0
0.335,-0.015563965,0
0.336,-0.016174316,0
0.337,-0.016784668,0
0.338,-0.017089844,0
0.339,-0.01739502,0
0.34,-0.01739502,0
0.341,-0.017089844,0
0.342,-0.016784668,0
0.343,-0.016174316,0
0.344,-0.014953613,0
0.345,-0.01373291,0
0.346,-0.011901855,0
0.347,-0.010070801,0
0.348,-0.008239746,0
0.349,-0.006103516,0
0.35,-0.003662109,0
0.351,-0.001220703,0
0.352,0.001831055,0
0.353,0.004577637,0
0.354,0.007324219,0
0.355,0.010070801,0
0.356,0.012512207,0
0.357,0.014648438,0
0.358,0.016479492,0
0.359,0.018310547,0
0.36,0.019836426,0
0.361,0.021362305,0
0.362,0.022888184,0
0.363,0.024108887,0
0.364,0.025024414,0
0.365,0.025939941,0
0.366,0.026855469,0
0.367,0.027160645,0
0.368,0.02746582,0
0.369,0.02746582,0
0.37,0.02746582,0
0.371,0.02746582,0
0.372,0.02746582,0
0.373,0.027770996,0
0.374,0.027770996,0
0.375,0.028076172,0
0.376,0.028686523,0
0.377,0.029296875,0
0.378,0.030517578,0
0.379,0.031738281,0
0.38,0.03326416,0
0.381,0.034790039,0
0.382,0.036621094,0
0.383,0.038452148,0
0.384,0.039978027,0
0.385,0.041809082,0
0.386,0.043334961,0
0.387,0.045471191,0
0.388,0.047302246,0
0.389,0.049133301,0
0.39,0.050964355,0
0.391,0.05279541,0
0.392,0.054016113,0
0.393,0.055236816,0
0.394,0.05645752,0
0.395,0.057678223,0
0.396,0.058898926,0
0.397,0.059814453,0
0.398,0.06072998,0
0.399,0.061950684,0
0.4,0.063476563,0
0.401,0.065307617,0
0.402,0.067749023,0
0.403,0.07019043,0
0.404,0.07232666,0
0.405,0.074768066,0
0.406,0.076904297,0
0.407,0.079040527,0
0.408,0.081176758,0
0.409,0.083312988,0
0.41,0.085449219,0
0.411,0.087585449,0
0.412,0.08972168,0
0.413,0.09185791,0
0.414,0.093688965,0
0.415,0.09552002,0
0.416,0.097045898,0
0.417,0.098571777,0
0.418,0.100097656,0
0.419,0.101623535,0
0.42,0.102844238,0
0.421,0.104675293,0
0.422,0.106506348,0
0.423,0.108642578,0
0.424,0.110778809,0
0.425,0.112609863,0
0.426,0.114135742,0
0.427,0.114746094,0
0.428,0.115356445,0
0.429,0.115661621,0
0.43,0.115661621,0
0.431,0.115356445,0
0.432,0.11505127,0
0.433,0.114440918,0
0.434,0.113525391,0
0.435,0.112304688,0
0.436,0.111083984,0
0.437,0.109558105,0
0.438,0.108032227,0
0.439,0.106506348,0
0.44,0.105285645,0
0.441,0.103759766,0
0.442,0.102233887,0
0.443,0.101013184,0
0.444,0.09979248,0
0.445,0.098571777,0
0.446,0.097961426,0
0.447,0.097351074,0
0.448,0.097351074,0
0.449,0.09765625,0
0.45,0.097961426,0
0.451,0.097961426,0
0.452,0.097351074,0
0.453,0.096435547,0
0.454,0.094909668,0
0.455,0.092773438,0
0.456,0.090026855,0
0.457,0.087280273,0
0.458,0.084228516,0
0.459,0.080871582,0
0.46,0.077209473,0
0.461,0.073547363,0
0.462,0.069274902,0
0.463,0.06439209,0
0.464,0.059204102,0
0.465,0.053710938,0
0.466,0.048217773,0
0.467,0.042724609,0
0.468,0.037231445,0
0.469,0.031738281,0
0.47,0.026855469,0
0.471,0.022277832,0
0.472,0.018005371,0
0.473,0.014038086,0
0.474,0.009765625,0
0.475,0.005493164,0
0.476,0.001220703,0
0.477,-0.003051758,0
0.478,-0.007019043,0
0.479,-0.010986328,0
0.48,-0.015258789,0
0.481,-0.01953125,0
0.482,-0.024108887,0
0.483,-0.028381348,0
0.484,-0.032958984,0
0.485,-0.037536621,0
0.486,-0.042419434,0
0.487,-0.047302246,0
0.488,-0.051879883,0
0.489,-0.05645752,0
0.49,-0.060424805,0
